external_gene_name	Y	A	CtrlUn	KUnInj	CtrlInj	KInj	N	KN
Atp13a2	579.397	198.246	105.924	57.8115	34.897	174.882	135.306	189.859
Atp13a3	108.282	79.2984	61.3016	41.3783	87.9424	87.1183	112.755	61.5849
Atp13a4	238.317	140.094	157.568	142.005	161.159	281.969	293.162	165.299
Atp13a5	89.1303	47.579	40.314	25.1031	34.98	77.3095	103.734	37.3034
Atp1a1	258.417	257.72	361.136	466.125	361.259	225.887	302.182	363.459
Atp1a2	483.975	576.235	217.897	194.113	238.129	293.601	216.489	266.954
Atp1a3	405.198	285.474	448.558	363.009	339.688	447.273	644.957	828.354
Atp1a4	173.214	51.544	54.2913	40.1333	51.272	129.119	76.6732	60.7748
Atp1b1	206.663	327.767	315.15	394.36	497.133	190.613	266.101	463.22
Atp1b2	180.71	105.731	38.9899	7.56027	22.1931	71.3955	40.5917	39.722
Atp1b3	117.691	72.6902	48.3691	41.4573	60.7612	104.071	49.6121	50.8531
Atp1b4	544.327	128.199	152.079	138.938	113.516	117.865	63.1426	106.074
Atp23	318.889	758.621	538.353	510.447	472.099	390.362	469.059	735.967
Atp2a1	98.7282	38.3276	113.469	92.9988	106.589	143.865	85.6935	162.371
Atp2a2	158.575	64.7603	87.802	75.3769	113.682	144.427	117.265	137.096
Atp2a3	116.115	50.2223	58.7738	45.1923	161.283	138.948	144.326	55.6202
Atp2b1	5465.61	3116.43	1154.07	1619.98	1399.2	543.808	608.875	1194.91
Atp2b2	380.58	329.088	450.748	550.297	527.54	506.247	694.569	761.963
Atp2b3	298.476	252.433	295.043	276.869	247.202	325.102	230.02	347.592
Atp2b4	250.778	134.807	126.522	84.8047	185.416	357.271	234.53	144.582
Atp2c1	187.451	178.421	130.566	113.699	161.905	220.959	216.489	149.339
Atp2c2	99.8667	81.9417	52.919	44.0037	62.3685	111.95	117.265	83.0564
Atp4a	52.0534	21.1462	22.119	7.51511	23.9665	119.342	162.367	9.92563
Atp4b	137.607	66.082	74.1377	50.2738	44.0541	245.65	63.1426	74.7433
Atp5a1	470.101	387.24	192.856	236.159	176.466	148.788	112.755	236.728
Atp5b	1828.59	1209.3	681.087	889.889	521.598	327.818	437.488	1202.09
Atp5c1	80.8744	128.199	208.204	224.999	184.917	130.778	166.877	248.591
Atp5d	2248.87	814.13	467.653	595.626	421.895	277.308	234.53	1017.67
Atp5e	464.223	244.503	175.903	216.647	262.053	176.526	166.877	262.202
Atp5f1	195.639	126.877	637.479	632.453	615.317	305.784	451.019	512.433
Atp5g1	1012.03	716.329	351.396	409.808	461.863	269.378	175.897	873.215
Atp5g2	146.165	125.556	145.271	164.561	170.399	134.056	117.265	204.579
Atp5g3	733.612	588.13	273.685	323.51	257.356	163.561	288.652	288.403
Atp5h	55.0447	23.7895	11.358	2.51256	10.889	49.1391	13.5306	15.4912
Atp5j	120.157	129.521	140.644	133.665	154.024	119.904	126.285	106.458
Atp5j2	168.119	101.766	111.442	93.5648	75.4044	144.174	234.53	115.972
Atp5k	939.342	523.369	509.324	568.032	361.715	276.194	374.345	630.166
Atp5l	97.7036	66.082	28.8982	45.9164	29.3695	54.6038	36.0815	53.6203
Atp5o	245.548	133.486	173.114	166.44	130.099	196.018	162.367	153.82
Atp5s	875.485	815.452	542.344	636.391	528.733	316.267	387.876	681.236
Atp6ap1	1460.97	865.674	552.816	667.663	585.533	218.075	162.367	686.379
Atp6ap1l	179.321	314.55	269.622	249.502	236.936	185.204	220.999	206.555
Atp6ap2	1014.52	1262.17	694.683	707.875	610.981	267.289	342.774	658.738
Atp6v0a1	679.478	276.223	104.711	129.329	112.033	199.337	121.775	240.743
Atp6v0a2	552.845	417.638	175.82	186.552	137.69	319.572	243.55	282.481
Atp6v0a4	119.897	237.895	98.1105	112.522	64.1004	157.339	45.1019	124.395
Atp6v0b	633.161	179.743	158.978	130.166	124.861	186.169	225.509	204.587
Atp6v0c	159.397	64.7603	87.6527	45.2262	108.113	143.453	112.755	71.1542
Atp6v0d1	175.303	80.62	89.0346	82.2582	82.7468	188.591	148.836	86.1295
Atp6v0d2	66.7482	54.1872	106.305	74.7544	102.876	131.608	81.1834	67.1388
Atp6v0e	318.352	220.714	117.711	127.642	53.1283	110.648	211.979	255.443
Atp6v0e2	688.167	504.866	466.8	493.707	385.723	288.137	414.937	664.899
Atp6v1a	158.279	175.778	549.514	670.505	632.635	332.846	644.957	466.452
Atp6v1b1	143.318	34.3626	60.1604	43.8569	51.272	128.05	90.2037	63.9646
Atp6v1b2	964.226	592.095	556.216	594.719	614.777	418.046	329.244	608.151
Atp6v1c1	726.448	512.796	372.831	428.381	218.332	242.489	239.04	472.809
Atp6v1c2	222.108	95.1581	120.201	49.5723	91.5718	142.491	180.407	120.426
Atp6v1d	64.5936	67.4036	72.4188	62.7576	44.0126	93.0149	67.6528	70.7005
Atp6v1e1	223.084	683.288	799.794	897.337	765.337	364.833	441.998	941.529
Atp6v1e2	107.351	50.2223	37.3963	18.2105	29.3695	93.231	103.734	42.9312
Atp6v1f	850.11	674.036	374.969	544.015	343.068	222.889	180.407	466.786
Atp6v1g1	1209.63	1554.25	928.512	1104.9	1142.15	449.252	635.936	824.292
Atp6v1g2	2358.28	724.259	502.603	434.141	312.091	340.586	554.753	831.055
Atp6v1g3	75.3649	46.2574	68.2348	58.4566	80.7659	119.236	117.265	54.3875
Atp6v1h	474.312	311.907	257.055	251.347	245.637	101.225	270.611	216.548
Atp7a	738.643	1028.24	866.575	982.447	735.677	328.553	469.059	703.905
Atp7b	138.116	40.9708	133.287	74.6754	79.1171	142.949	103.734	60.3561
Atp8a1	328.732	499.58	455.024	478.089	515.821	398.145	378.856	382.516
Atp8a2	220.958	148.024	134.221	156.39	161.656	259.695	320.223	169.663
Atp8b1	120.61	223.357	44.8302	31.9505	7.34235	76.1716	49.6121	31.3854
Atp8b2	126.882	99.123	328.839	436.077	244.237	215.405	297.672	625.635
Atp8b3	234.445	75.3335	107.23	77.1993	93.6358	268.79	162.367	113.24
Atp8b4	188.5	116.304	114.105	94.0744	157.571	261.378	157.857	105.984
Atp8b5	223.305	77.9767	60.7383	40.2462	42.4053	98.9119	67.6528	103.648
Atp9a	344.623	185.03	355.945	457.218	350.743	398.82	414.937	582.731
Atp9b	401.621	952.902	675.944	721.875	715.714	484.814	441.998	820.351
Atpaf1	208.671	75.3335	286.7	283.218	273.524	142.955	220.999	353.232
Atpaf2	66.1004	38.3276	37.0447	21.968	54.9432	107.37	54.1222	43.2721
Atpif1	109.594	34.3626	27.6223	11.9629	62.4515	67.5872	27.0611	35.3152
Atr	769.041	566.983	458.187	461.044	321.082	383.172	387.876	440.077
Atraid	1689.46	726.902	251.784	206.007	196.844	162.458	230.02	447.573
Atrip-trex1	95.5294	15.8597	28.5949	22.5792	23.9665	54.6586	27.0611	29.7691
Atrn	984.333	327.767	252.298	378.084	257.024	236.377	171.387	473.44
Atrnl1	1215.69	613.241	602.226	698.187	517.346	403.164	329.244	763.052
Atrx	220.56	301.334	340.332	361.945	352.848	292.178	275.121	260.99
Atxn1	112.521	67.4036	85.7749	83.0163	130.181	124.518	63.1426	139.072
Atxn10	977.084	183.708	158.82	159.582	132.163	161.199	175.897	276.066
Atxn1l	259.928	206.176	182.041	141.315	167.142	285.046	378.856	168.007
Atxn2	391.399	233.93	103.984	91.0635	102.959	203.949	261.591	171.995
Atxn2l	251.144	58.1521	68.2492	47.8743	91.406	194.569	99.2241	57.2288
Atxn3	137.528	257.72	658.5	752.139	596.504	379.879	405.917	716.315
Atxn7	527.451	375.346	456.29	536.669	550.096	224.666	401.407	402.004
Atxn7l1	2322.06	2947.26	2155.5	2537.3	2240.52	1197.99	1321.48	2319.18
Atxn7l1os2	377.244	782.411	799.346	932.139	552.284	390.54	396.896	981.982
Atxn7l2	468.425	261.685	270.763	293.925	275.629	253.416	175.897	313.118
Atxn7l3	266.057	58.1521	67.2477	45.2148	44.2202	133.731	94.7139	86.6299
Atxn7l3b	237.309	226	208.339	200.326	242.505	154.982	216.489	159.373
Auh	418.11	226	239.308	147.653	203.688	519.394	261.591	230.027
Aunip	302.358	177.1	82.5538	108.096	76.8043	119.904	216.489	189.087
Aup1	0	0	0	0	0	0	0	0
Aurka	203.014	75.3335	78.0376	57.2229	71.5672	161.504	76.6732	57.6475
Aurkaip1	340.737	72.6902	44.2332	37.7111	73.0916	92.2747	139.816	81.4713
Aurkb	242.753	112.339	49.7413	64.1269	53.3359	69.0996	81.1834	90.1681
Aurkc	46.8041	22.4679	27.9209	8.21664	10.972	76.9148	54.1222	13.1154
Auts2	432.571	153.31	140.688	116.846	102.876	360.756	266.101	137.863
AV026068	85.5466	42.2925	120.008	106.094	137.815	123.387	230.02	85.436
AV051173	920.002	428.211	283.021	243.742	122.964	157.912	121.775	379.885
AV064505	76.0935	46.2574	62.433	65.9605	111.701	105.601	175.897	31.7807
AV320801	1.61688	2.64328	1.62738	0.63379	3.71269	2.63296	0	0.79062
Aven	634.605	368.737	294.625	266.524	361.798	419.06	351.795	274.543
Avil	237.697	161.24	150.157	152.723	139.505	182.911	293.162	241.906
Avl9	1590.44	2566.62	1828.18	2180.81	2763.24	871.005	1154.61	1521.01
Avp	220.812	116.304	69.2219	46.4937	76.9702	153.245	108.244	79.0332
Avpi1	240.329	300.012	560.987	590.928	411.462	262.276	266.101	659.822
Avpr1a	196.344	306.62	247.551	245.529	227.572	161.13	198.448	256.998
Avpr1b	82.4049	42.2925	32.1337	25.7481	16.4581	88.2361	40.5917	33.7963
Avpr2	91.2575	43.6141	37.7141	17.5653	58.5728	106.701	90.2037	28.2073
AW112010	93.3482	74.0118	117.697	94.7872	174.402	175.81	103.734	92.5556
AW146154	109.183	56.8305	72.5295	30.2637	44.0541	122.591	103.734	19.8708
AW549542	60.7673	22.4679	36.3899	15.6753	60.6367	81.9964	63.1426	26.5988
AW551984	114.021	39.6492	91.0375	87.193	155.963	124.466	108.244	76.2699
Awat1	60.3096	25.1112	64.6863	49.6853	73.5896	82.466	81.1834	39.3072
Awat2	76.0143	56.8305	80.9073	40.7896	66.0812	145.075	45.1019	43.2876
Axdnd1	103.025	21.1462	43.8673	32.6859	75.4874	117.288	81.1834	38.1407
Axin1	1472.78	446.714	334.713	377.915	310.028	240.274	266.101	710.893
Axin2	1138.87	1276.7	986.15	1160.2	1090.71	519.371	613.385	1613.43
Axl	532.596	145.38	150.558	52.7413	119.417	340.534	153.346	82.2931
Aym1	128.19	83.2633	108.871	106.75	29.2864	102.645	198.448	174.454
Azgp1	33.9421	15.8597	51.9561	18.2443	43.9711	87.104	72.163	25.8122
Azi2	2110.78	2185.99	1798.01	2226.64	2599.47	917.633	1055.38	1749.17
Azin1	96.8784	62.1171	63.7137	39.5221	77.1778	87.0808	90.2037	59.5772
Azin2	406.908	259.041	256.006	176.57	255.126	576.784	284.142	359.482
B2m	466.741	544.516	318.506	313.256	246.218	170.993	112.755	299.925
B3galnt1	155.273	206.176	336.937	391.473	347.486	224.539	405.917	267.799
B3galnt2	5784.27	4118.23	2736.48	3047.97	2882.29	982.175	1100.49	2430.81
B3galt1	199.958	235.252	282.453	307.846	256.941	240.496	378.856	304.348
B3galt2	526.323	911.931	674.909	825.853	742.771	319.223	545.733	610.907
B3galt4	1328.64	343.626	198.517	192.2	97.5974	176.901	148.836	439.02
B3galt5	619.269	695.183	361.478	376.24	337.998	378.822	189.428	495.396
B3galt6	22.2027	0	4.22736	6.9039	1.81483	12.2084	67.6528	1.98825
B3gat1	1392.72	767.873	503.003	510.56	666.464	437.522	509.651	579.486
B3gat2	559.081	196.924	229.457	192.981	170.897	198.207	297.672	250.512
B3gat3	495.627	292.082	284.187	343.587	274.84	146.343	252.57	251.064
B3glct	386.241	137.451	127.018	111.742	123.13	238.721	157.857	155.808
B3gnt2	123.481	356.843	217.512	228.066	202.123	176.225	266.101	215.202
B3gnt3	295.016	111.018	87.6479	69.6276	98.9972	157.324	130.795	109.612
B3gnt4	751.25	211.462	87.0894	84.25	79.0341	117.144	157.857	168.5
B3gnt5	373.494	100.445	189.745	180.87	187.355	248.953	216.489	133.096
B3gnt6	458.478	263.006	344.858	341.075	214.495	242.621	252.57	452.476
