external_gene_name	E11mean	E12mean	E13mean	E14mean	E15mean	E16mean	E18mean	P0mean	CtrlUnInjmean	YoungFC	AdultFC	UnInjCST_FC	InjCST_FC
Popdc3	0.06	0.2	0.125	0.41000000000000003	0.44	0.355	0.5449999999999999	1.915	1.05	149.22299999999998			151.496
Por	64.22	91.075	109.285	93.235	77.465	90.63	87.275	74.245	23.389999999999997	1422.66			597.69
Porcn	6.765	11.165	17.745	25.479999999999997	32.605000000000004	34.28	35.945	36.56	22.41	164.94099999999997			96.2181
Postn	2.0549999999999997	5.72	12.555	6.555	13.935	9.649999999999999	19.185000000000002	11.385000000000002	3.09	138.069			84.3836
Pot1a	24.72	37.94	35.695	30.155	33.935	30.705	32.65	12.64	14.510000000000002	257.411			453.724
Pot1b	1.83	2.0300000000000002	2.545	2.675	1.25	2.145	1.75	0.365	3.79	200.433			145.921
Poteg	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.03	67.7219			77.6621
Pou1f1	0.02	0.0	0.0	0.01	0.0	0.045	0.04	0.01	0.0	123.943			68.5574
Pou2af1	0.0	0.0	0.01	0.05	0.060000000000000005	0.06	0.060000000000000005	0.05	0.02	123.244			49.3177
Pou2f1	13.305	26.645	23.685000000000002	20.634999999999998	15.754999999999999	18.41	19.29	11.84	4.16	760.4119999999999			614.7919999999999
Pou2f2	3.42	14.375	20.79	18.314999999999998	15.280000000000001	14.025	13.265	13.004999999999999	1.6649999999999998	315.45			117.87100000000001
Pou2f3	0.015	0.0	0.0	0.0	0.03	0.025	0.05	0.035	0.295	64.3821			51.6576
Pou3f1	1.575	8.02	15.56	10.489999999999998	12.675	17.935000000000002	16.119999999999997	21.66	5.865	1550.16			465.332
Pou3f2	7.57	23.175	35.980000000000004	34.224999999999994	24.740000000000002	40.745	40.185	10.695	11.73	262.12			206.64
Pou3f3	7.545	22.92	34.754999999999995	33.795	27.085	41.86	39.065	21.475	18.585	510.44199999999995			294.105
Pou3f4	3.015	7.32	12.675	15.84	14.57	11.445	11.08	4.96	3.0999999999999996	1174.22			1495.8
Pou4f1	0.835	2.31	2.895	3.425	1.83	2.325	1.755	3.42	2.5700000000000003	192.049			125.34299999999999
Pou4f2	0.0	0.015	0.015	0.025	0.0	0.035	0.1	0.0	0.615	274.33799999999997			190.68400000000003
Pou4f3	0.0	0.0	0.0	0.07	0.0	0.04	0.085	0.03	0.14	308.586			107.85600000000001
Pou5f1	0.05500000000000001	0.05	0.075	0.07	0.115	0.05500000000000001	0.12	0.015	0.0	233.457			110.807
Pou5f2	0.775	1.3900000000000001	2.1950000000000003	1.855	0.275	1.325	0.57	0.21	0.0	93.1465			156.017
Pou6f1	1.72	10.28	19.61	23.465	26.81	32.89	32.105	23.285	33.0	126.525			36.7126
Pou6f2	0.14	0.89	2.215	1.6099999999999999	2.015	1.81	2.05	4.505	0.835	744.97			210.053
Pp2d1	0.16999999999999998	0.515	0.44499999999999995	0.525	0.365	0.585	0.48	0.42	0.015	68.645			77.3395
Ppa1	214.175	260.01	219.91500000000002	237.95	223.02	203.79500000000002	223.25	177.875	74.955	538.737			216.66400000000002
Ppa2	47.895	59.61	63.724999999999994	68.10499999999999	65.15	57.7	62.385	73.825	60.769999999999996	464.42800000000005			294.096
Ppan	75.0	73.13	71.345	64.48	44.58	60.745000000000005	57.72	39.605000000000004	10.350000000000001	1329.11			419.866
Ppara	0.08	0.32	0.505	0.43	0.5900000000000001	1.1949999999999998	0.97	1.63	0.72	387.73			46.785
Ppard	0.6950000000000001	0.9500000000000001	0.99	1.18	1.4849999999999999	1.085	1.26	0.75	5.285	514.795			303.248
Pparg	0.065	0.125	0.03	0.035	0.085	0.11000000000000001	0.165	0.18	1.57	355.168			179.745
Ppargc1a	1.19	2.84	4.075	3.885	5.265000000000001	6.095000000000001	6.54	9.275	14.945	68.4009			37.0592
Ppargc1b	0.76	1.045	0.7150000000000001	0.65	0.71	1.045	0.985	1.94	1.8	87.4789			82.5394
Ppat	36.36	38.155	26.560000000000002	18.48	14.879999999999999	12.835	14.145	9.17	6.415	69.8646			46.4336
Ppbp	3.735	12.485	4.76	2.635	0.76	0.645	1.02	0.215	0.165	106.508			51.9849
Ppcdc	6.265000000000001	10.26	8.955	9.469999999999999	8.09	9.125	9.225000000000001	5.71	5.1049999999999995	129.38			68.1963
Ppcs	16.85	15.765	16.869999999999997	13.94	17.015	14.365	14.3	17.755000000000003	6.935	39.3195			6.82733
Ppdpf	210.51	359.57500000000005	394.72	444.71000000000004	470.865	422.12	401.395	355.79499999999996	41.964999999999996	1665.51			427.74300000000005
Ppef1	0.2	0.385	0.54	0.42	0.21999999999999997	0.17	0.215	0.5449999999999999	0.53	124.21			94.3066
Ppef2	0.005	0.01	0.11	0.05	0.055	0.095	0.09	0.12	0.11	119.281			58.4993
Ppfia1	20.65	37.64	38.285	22.29	19.174999999999997	23.105	22.72	11.41	15.719999999999999	88.402			250.27599999999998
Ppfia2	0.21500000000000002	2.26	6.63	11.65	22.229999999999997	21.175	25.75	20.04	22.509999999999998	2054.42			2512.76
Ppfia3	4.545	10.675	12.535	11.43	13.04	17.64	15.649999999999999	22.48	32.2	866.648			276.863
Ppfia4	1.03	1.645	2.6	2.9699999999999998	5.4350000000000005	8.620000000000001	8.11	13.04	12.43	280.942			117.359
Ppfibp1	15.455	25.6	19.71	10.094999999999999	8.345	10.92	12.129999999999999	11.120000000000001	12.969999999999999	1258.64			722.715
Ppfibp2	4.550000000000001	2.62	1.75	0.885	1.315	1.135	1.37	0.96	3.6550000000000002	1040.08			802.3610000000001
Pphln1	47.84	54.144999999999996	62.129999999999995	46.65	24.424999999999997	37.215	32.239999999999995	24.485	19.740000000000002	579.442			295.77099999999996
Ppia	3295.645	3783.7250000000004	3836.71	3758.115	3673.23	3062.9700000000003	3319.175	5272.41	1610.795	1763.65			794.6419999999999
Ppib	226.655	299.5	267.135	283.59000000000003	335.09000000000003	261.09	286.185	300.77	110.855	1424.66			510.129
Ppic	63.24	96.155	79.05	49.09	55.15	35.765	55.905	46.33	1.8900000000000001	115.01799999999999			77.3251
Ppid	132.32	155.755	150.305	142.79000000000002	142.44	129.43	146.255	113.435	96.425	417.506			253.8
Ppie	77.91499999999999	94.82	87.265	78.035	73.66499999999999	59.129999999999995	67.56	42.935	10.46	87.9043			108.602
Ppif	36.7	28.84	27.84	21.65	22.505	18.685	20.935	29.72	16.064999999999998	820.2810000000001			536.658
Ppig	86.91	108.4	142.74	116.505	65.06	108.4	84.75	89.75999999999999	52.17	1425.68			560.183
Ppih	83.745	97.295	95.69999999999999	91.55	73.62	57.04	60.925	54.425	18.555	282.828			120.249
Ppil1	118.13499999999999	135.465	111.18	119.33	98.67	98.725	95.28999999999999	82.77	14.665000000000001	175.26			136.17600000000002
Ppil2	78.18	119.45	123.055	128.07	116.535	129.155	123.78999999999999	84.83500000000001	49.77	784.7560000000001			1186.46
Ppil3	35.105000000000004	42.57	39.915	45.209999999999994	48.66	42.31	49.760000000000005	46.155	45.69	192.351			126.007
Ppil4	23.975	38.31	44.254999999999995	44.855000000000004	41.805	45.765	49.83	39.769999999999996	27.325	688.83			302.203
Ppil6	0.44	0.52	0.88	1.45	1.755	1.605	1.5550000000000002	4.42	4.66	468.415			312.993
Ppip5k1	5.725	8.780000000000001	11.115	12.274999999999999	9.135	12.48	11.015	10.385	36.215	440.023			324.433
Ppip5k2	27.17	42.465	47.53	40.18	35.835	39.725	41.92	16.21	13.295	334.478			287.032
Ppl	0.45999999999999996	1.05	0.61	0.10500000000000001	0.075	0.125	0.13	0.045000000000000005	0.11	199.113			102.09700000000001
Ppm1a	9.965	28.68	32.47	17.53	25.729999999999997	28.32	27.67	30.990000000000002	84.21	2833.48			977.551
Ppm1b	30.055	73.83	85.73	72.275	62.175	81.7	72.65	46.474999999999994	63.64	6730.1			2274.74
Ppm1d	11.274999999999999	23.79	22.715	18.665	21.055	21.369999999999997	20.515	13.99	8.565	503.096			317.837
Ppm1e	2.6849999999999996	10.58	16.025	14.184999999999999	20.0	21.73	20.475	14.11	68.755	81.1481			57.1464
Ppm1f	15.94	18.485	26.335	20.61	11.239999999999998	21.465	18.235	8.535	16.48	661.817			298.934
Ppm1g	118.155	148.20999999999998	140.77999999999997	142.515	119.715	141.81	136.04	143.47	25.43	345.972			51.3446
Ppm1h	1.755	3.075	3.735	5.59	8.465	8.555	9.335	22.21	20.475	338.202			224.878
Ppm1j	0.69	0.79	0.855	0.8200000000000001	0.55	1.5499999999999998	1.01	1.7	0.24	385.853			198.27599999999998
