external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Gls	254	40	84	98	206	135	63	131
Nab1	244	17	74	62	158	103	74	60
Nemp2	215	34	43	37	71	41	27	34
Mfsd6	128	25	70	61	120	89	35	79
Inpp1	215	27	59	44	107	88	45	73
Hibch	139	9	32	47	72	43	20	23
Mstn	89	26	27	33	44	28	15	10
Ormdl1	384	41	83	49	90	42	23	36
Pms1	450	48	132	70	149	73	13	17
Osgepl1	326	58	121	99	206	126	53	77
Asnsd1	164	27	46	27	65	22	9	3
Dnah7a	206	28	72	52	118	64	40	35
Stk17b	139	15	46	24	28	18	10	14
Hecw2	183	16	73	67	134	99	80	85
Ccdc150	86	28	37	30	63	32	20	34
Gtf3c3	150	10	32	19	45	31	23	11
Pgap1	456	42	154	135	248	170	82	40
Ankrd44	330	36	139	109	240	121	73	18
Sf3b1	310	34	93	69	177	117	40	33
Coq10b	216	38	97	66	133	105	49	200
Hspe1	1075	107	250	160	252	124	88	125
Hspd1	615	76	181	121	161	103	61	94
Mob4	375	79	173	168	326	208	105	105
Rftn2	141	19	40	25	42	27	10	24
Mars2	190	26	46	41	60	63	22	13
Boll	107	22	47	20	16	19	3	4
Boll	42	9	21	14	23	15	5	2
Plcl1	97	32	78	46	123	88	26	56
Hsfy2	26	17	15	20	15	17	6	1
Satb2	308	26	60	91	386	302	150	115
Maip1	433	32	48	54	86	75	45	38
Tyw5	1061	74	147	120	234	147	94	104
Spats2l	512	69	206	145	274	152	79	45
Spats2l	65	9	40	35	25	22	10	3
Kctd18	138	31	40	34	62	47	22	25
Sgo2a	338	46	129	107	252	177	88	43
Aox1	73	20	46	34	53	30	15	45
Aox3	62	11	43	23	33	24	14	7
Aox4	46	11	36	33	67	41	30	10
Aox2	81	18	44	21	23	25	15	6
Bzw1	1114	130	302	211	487	274	197	166
Clk1	182	28	65	48	75	70	24	45
Nif3l1	290	38	92	75	130	82	29	23
Ppil3	657	75	196	151	362	180	94	65
Orc2	28	15	17	15	23	19	10	4
Orc2	129	29	44	36	82	56	32	14
Ndufb3	175	15	42	38	57	35	25	81
Fam126b	0	0	0	0	0	0	0	0
Fam126b	11	2	1	4	4	3	2	0
Flacc1	26	6	22	15	19	13	5	1
Cflar	298	38	119	111	190	78	34	40
Cflar	393	50	98	67	127	98	39	51
Cflar	33	11	17	11	22	14	6	8
Casp8	57	20	48	22	42	33	12	20
Casp8	41	11	35	23	31	26	13	25
Stradb	388	43	106	113	279	196	61	84
Trak2	437	22	70	56	91	76	47	80
C2cd6	40	21	24	18	22	22	6	5
Tmem237	270	20	58	40	81	47	35	26
Tmem237	27	4	12	11	19	8	6	2
Mpp4	65	21	43	28	44	37	11	11
Mpp4	92	32	58	43	64	43	26	34
Als2	121	7	18	5	29	15	7	7
Als2	22	3	11	9	15	7	7	3
Cdk15	97	23	47	32	38	28	15	3
Fzd7	643	150	223	118	165	90	26	35
Sumo1	795	82	167	134	220	174	89	78
Bmpr2	1508	277	677	446	840	549	275	129
Fam117b	661	50	166	94	272	166	108	65
Ica1l	156	11	38	26	42	31	22	6
Wdr12	149	12	32	31	104	53	22	31
Wdr12	0	0	0	0	0	0	0	0
Wdr12	22	4	9	11	28	11	7	0
Carf	11	5	18	9	15	14	9	5
Nbeal1	416	45	183	126	268	174	87	75
Cyp20a1	404	68	184	99	234	159	48	141
Abi2	925	115	278	202	400	221	198	117
Raph1	546	77	267	219	524	318	173	54
Cd28	39	18	34	36	56	23	14	22
Ctla4	32	15	31	25	22	20	6	3
Icos	30	16	21	14	20	22	6	2
Pard3b	189	20	45	34	50	35	14	20
Nrp2	269	32	104	109	231	150	73	51
Ino80d	978	279	552	435	765	496	204	131
Eef1b2	487	35	127	75	150	105	63	106
Ndufs1	912	58	166	112	231	140	88	72
Zdbf2	58	14	35	14	16	21	9	5
Gpr1	85	23	71	38	52	48	30	23
Zdbf2	439	80	116	79	164	91	54	21
Adam23	203	36	74	72	99	78	49	115
Dytn	32	12	19	15	18	14	6	5
Fastkd2	69	4	19	16	18	28	6	17
Mdh1b	195	17	13	11	36	10	19	22
Klf7	1507	351	891	712	1321	967	413	409
Creb1	989	64	206	153	376	254	149	149
Mettl21a	274	62	122	91	189	141	55	62
Ccnyl1	559	50	99	58	100	64	21	24
Fzd5	245	43	98	43	43	32	17	10
Plekhm3	262	32	71	62	155	117	80	60
Akr1cl	44	12	33	15	15	21	11	3
Cryge	140	16	34	25	24	15	8	3
Crygd	87	31	39	22	28	21	9	2
Crygc	85	17	34	27	24	25	12	2
Crygb	58	23	17	13	17	19	10	5
Cryga	40	14	19	14	11	13	7	3
Idh1	359	92	178	153	374	228	74	60
Pikfyve	211	20	55	37	90	76	20	34
Idh1	401	40	131	62	139	74	44	23
Pth2r	34	15	30	29	34	24	9	4
