external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Als2	58	11	28	35	38	38	21	16
Cdk15	47	17	32	33	24	12	10	9
Fzd7	805	223	351	289	439	378	170	86
Sumo1	2000	833	1331	1275	1377	1218	481	419
Bmpr2	2162	1068	1762	1312	1871	1560	753	383
Fam117b	1099	421	796	567	919	691	361	268
Ica1l	848	454	732	573	747	613	363	86
Wdr12	368	182	282	248	411	326	151	88
Wdr12	0	0	0	0	0	0	0	0
Wdr12	87	21	25	58	57	28	29	12
Carf	16	9	12	10	11	5	3	4
Nbeal1	842	298	596	532	979	851	413	270
Cyp20a1	701	273	521	502	787	697	296	316
Abi2	737	251	530	500	774	662	376	165
Raph1	1163	414	861	651	947	753	384	149
Cd28	13	14	22	13	20	9	8	7
Ctla4	20	11	21	14	16	17	9	0
Icos	11	13	31	16	6	9	7	1
Pard3b	463	175	340	273	398	287	153	52
Nrp2	1133	417	760	678	944	814	386	172
Ino80d	1227	520	845	858	1089	952	462	349
Eef1b2	1972	863	1437	1227	1435	1244	515	529
Ndufs1	2122	942	1578	1405	1791	1495	597	414
Zdbf2	31	8	33	27	20	18	10	12
Gpr1	63	16	38	28	46	31	17	20
Zdbf2	608	200	406	316	469	320	175	38
Adam23	636	264	467	346	464	389	159	130
Dytn	16	8	14	19	15	8	7	0
Fastkd2	187	39	85	94	99	118	63	69
Mdh1b	1187	457	762	699	756	623	263	193
Klf7	1475	563	995	764	1095	853	395	504
Creb1	1649	561	1043	863	1235	1086	428	430
Mettl21a	471	118	299	264	380	339	140	82
Ccnyl1	1363	517	1053	947	1168	825	419	149
Fzd5	709	222	472	409	576	478	235	74
Plekhm3	389	155	261	272	427	411	223	206
Akr1cl	27	7	27	17	26	9	9	0
Cryge	56	11	18	25	31	9	11	1
Crygd	26	11	15	18	24	8	6	2
Crygc	38	8	23	26	15	14	6	1
Crygb	28	11	25	15	14	9	14	1
Cryga	16	7	21	21	8	5	5	3
Idh1	634	233	384	397	734	581	371	260
Pikfyve	442	151	305	285	406	402	181	158
Idh1	1596	651	1284	1043	1194	1015	429	225
Pth2r	160	50	101	104	88	70	33	25
Crygf	22	8	19	26	18	10	4	1
Map2	663	219	459	385	613	452	248	133
Map2	84	27	77	112	172	142	115	96
Unc80	318	105	219	217	339	304	144	193
Rpe	302	142	192	164	240	203	129	70
Kansl1l	1064	371	698	570	884	817	367	124
Acadl	774	246	568	417	528	403	252	82
Myl1	17	8	13	14	18	19	4	2
Myl1	14	5	10	17	12	8	1	0
Lancl1	95	48	86	61	76	60	24	24
Lancl1	3	1	0	0	1	0	1	0
Cps1	16	5	17	9	11	5	7	1
Erbb4	933	344	603	481	739	586	286	126
Ikzf2	945	297	532	530	617	500	203	87
Spag16	449	154	300	244	259	229	79	24
Spag16	11	4	15	8	12	4	4	0
Vwc2l	27	19	45	83	144	122	110	88
Bard1	493	261	497	481	750	600	268	157
Abca12	15	11	12	15	22	12	8	4
Atic	668	252	487	472	782	653	253	198
Fn1	1411	507	869	744	968	853	273	79
Mreg	512	177	298	249	381	251	144	57
Tmem169	681	195	355	335	405	344	161	161
Pecr	227	104	268	323	630	540	281	264
Xrcc5	370	111	170	187	298	244	116	119
March4	182	69	227	253	500	400	242	255
Smarcal1	414	198	277	269	369	318	123	165
Ankar	0	0	0	0	0	0	0	0
Ankar	0	0	0	0	0	0	0	0
Rpl37a	365	126	210	218	346	238	87	132
Igfbp2	516	102	243	167	250	231	58	26
Igfbp2	2367	1130	1729	1431	1745	1477	515	84
Igfbp5	617	165	212	218	222	214	110	62
Tnp1	16	12	21	15	13	9	5	1
Tns1	170	44	136	59	74	59	26	1
Rufy4	6	4	4	2	6	3	0	2
Cxcr2	33	11	27	18	20	15	5	4
Cxcr1	24	13	22	17	26	6	8	2
Arpc2	872	254	488	447	590	526	228	260
Gpbar1	49	12	34	36	36	17	10	6
Pnkd	1237	483	891	732	986	877	335	304
Aamp	1152	470	788	737	876	774	301	357
Tmbim1	331	67	119	124	131	112	52	93
Pnkd	291	80	154	113	198	187	88	79
Catip	27	18	24	29	24	23	9	12
Slc11a1	24	13	34	22	23	8	1	5
Ctdsp1	578	165	312	301	498	394	141	107
Vil1	55	16	44	28	22	12	7	7
Cnot9	1405	610	1010	932	1034	913	388	264
Usp37	1432	679	1302	1199	1548	1361	540	462
Plcd4	101	25	55	69	103	84	39	96
Plcd4	39	12	27	41	48	44	15	38
Bcs1l	1658	722	1270	1143	1393	1098	397	516
Zfp142	777	259	516	498	669	573	233	272
Stk36	1513	600	1004	984	1071	895	367	461
Rnf25	551	154	380	392	508	402	123	87
Ttll4	214	98	165	145	232	180	101	77
Cyp27a1	683	169	257	197	157	142	54	64
Wnt6	671	181	429	257	335	279	144	28
Wnt10a	180	45	143	108	141	103	60	71
Cdk5r2	631	210	460	323	468	435	248	130
Fev	175	43	115	101	80	76	45	12
Cryba2	114	42	108	90	121	93	47	35
Cfap65	121	42	68	73	97	73	37	43
Ihh	253	87	182	119	118	90	46	15
Nhej1	17	18	16	27	17	9	6	1
Slc23a3	35	18	26	23	22	13	5	6
Retreg2	1311	477	880	886	1166	1038	382	397
Cnppd1	1508	611	1197	1072	1397	1148	468	333
Zfand2b	3	1	5	2	9	0	0	0
Zfand2b	185	58	144	80	138	129	53	21
Abcb6	375	116	191	154	202	180	70	70
Ankzf1	1180	441	911	802	1077	874	402	384
Atg9a	1445	507	906	912	1117	951	365	461
Stk16	796	255	480	439	570	448	186	144
Glb1l	1748	724	1283	1217	1309	1064	427	338
Dnajb2	1225	345	778	668	997	848	297	251
Ptprn	307	91	283	176	318	305	180	143
Ptprn	16	5	32	18	31	10	15	31
Resp18	47	25	68	48	81	59	30	72
Des	99	31	62	59	46	19	17	21
Speg	148	38	61	41	41	32	14	9
Speg	944	313	623	427	562	484	247	230
Speg	92	18	48	30	43	24	26	410
Speg	178	27	69	47	33	20	15	15
Asic4	280	61	164	132	143	108	71	83
Tmem198	1845	798	1453	1179	1668	1292	537	231
Chpf	877	381	950	1020	1517	1265	549	423
Inha	681	285	524	390	564	441	191	84
Obsl1	29	6	10	25	14	10	8	9
Stk11ip	577	168	318	364	580	474	185	212
Slc4a3	542	144	299	251	363	296	163	144
Epha4	1478	540	936	938	1320	1104	431	473
Pax3	265	73	126	72	66	54	22	3
Sgpp2	793	228	437	323	342	277	118	134
Farsb	1478	585	941	889	1117	964	387	251
Mogat1	20	8	29	18	12	9	7	5
Acsl3	0	0	0	0	0	0	0	0
Utp14b	0	0	0	0	0	0	0	0
Utp14b	1713	868	1469	1157	1443	1175	548	289
Kcne4	13	7	17	6	17	2	4	4
Scg2	56	26	81	118	215	177	104	108
Ap1s3	948	288	564	467	542	379	165	255
Wdfy1	507	194	288	282	499	468	226	113
Mrpl44	189	64	81	63	86	81	48	58
Serpine2	953	276	594	412	665	528	257	75
Fam124b	22	12	19	18	22	10	9	3
Cul3	699	230	420	344	611	537	247	379
Dock10	843	264	586	440	542	458	208	68
Nyap2	4	2	8	12	35	24	15	5
Nyap2	0	0	0	0	0	0	0	0
Nyap2	26	9	25	49	93	73	57	60
Irs1	1679	606	1097	942	1294	1033	467	221
Rhbdd1	544	190	256	257	447	350	153	253
Rhbdd1	21	8	24	16	18	10	15	1
Col4a3	215	45	85	70	55	45	14	14
Col4a4	249	46	114	85	78	62	33	20
Mff	457	188	295	263	444	328	184	97
Tm4sf20	15	6	17	20	11	7	1	1
Agfg1	608	208	387	356	542	409	255	114
Slc19a3	350	112	178	176	264	257	119	111
Ccl20	12	6	15	13	5	9	8	0
Daw1	223	72	133	121	158	121	71	64
Sphkap	315	93	194	216	319	291	124	209
Pid1	465	169	321	265	329	330	151	69
Dner	233	82	162	197	263	192	91	61
Fbxo36	1041	486	905	571	721	635	291	64
Trip12	940	433	771	662	836	679	266	252
Slc16a14	368	167	300	362	519	432	198	127
Sp110	1	0	3	2	2	0	0	0
Sp140	1	2	2	6	6	2	1	1
Sp110	2	1	3	2	3	3	2	1
Sp100	0	0	0	0	0	0	0	0
Cab39	25	8	24	15	20	9	9	1
Cab39	1626	793	1521	1062	1218	1027	519	112
Itm2c	558	142	316	297	473	397	151	230
Gpr55	19	13	22	18	10	14	6	1
Spata3	24	9	47	23	20	9	13	9
Psmd1	561	223	369	360	511	411	191	237
Htr2b	25	7	14	24	17	5	7	3
Armc9	1142	395	623	594	851	725	245	195
B3gnt7	382	102	212	191	263	265	119	40
Ncl	1968	810	1259	1149	1482	1268	471	531
Nmur1	26	18	32	30	30	14	15	1
Tex44	76	27	36	28	17	20	5	3
Ptma	1075	293	576	524	875	763	294	333
Cops7b	1713	693	1225	990	1362	1132	506	319
Pde6d	300	79	149	90	121	97	45	79
Nppc	548	172	349	285	489	375	156	109
Dis3l2	1089	417	752	659	909	751	317	482
Alppl2	19	15	32	16	13	12	8	2
Alpi	25	11	22	21	22	8	5	4
Akp3	33	14	28	24	17	12	6	1
Ecel1	172	57	129	105	133	104	50	9
Ecel1	14	6	11	15	11	8	1	2
Prss56	54	19	53	27	24	9	7	7
Chrnd	31	12	42	25	12	11	7	2
Chrng	49	15	41	28	21	12	5	3
Eif4e2	0	0	1	0	0	0	0	0
Eif4e2	0	0	0	0	0	0	0	0
Eif4e2	43	17	35	30	36	40	17	10
Efhd1	622	155	312	258	354	269	96	61
Gigyf2	322	137	205	185	300	245	109	107
Kcnj13	36	12	26	25	27	14	9	3
Snorc	30	6	33	6	11	6	6	2
Ngef	758	282	663	395	526	431	247	96
Neu2	18	6	20	17	12	5	4	2
Ngef	24	8	18	28	20	7	6	5
Neu2	23	12	25	16	19	10	18	7
Neu2	30	12	27	31	15	17	16	13
Inpp5d	27	9	26	27	15	12	4	21
Atg16l1	521	209	299	335	418	330	163	87
Sag	24	13	31	20	22	8	0	4
Dgkd	403	182	299	213	347	266	184	82
Usp40	424	132	285	265	326	218	134	95
Ugt1a10	12	3	22	10	10	5	3	3
Ugt1a9	19	8	22	13	8	8	4	3
Ugt1a7c	17	4	10	12	14	6	3	3
Ugt1a6b	15	11	32	19	15	8	5	2
Ugt1a6a	29	9	25	21	19	10	4	3
Ugt1a5	13	7	21	19	17	9	4	1
Ugt1a2	28	10	23	19	20	14	16	3
Dnajb3	201	70	117	88	215	169	74	45
Ugt1a1	50	38	95	109	94	51	26	4
Mroh2a	99	69	127	139	157	72	49	7
Hjurp	72	53	68	62	76	66	36	38
Hjurp	5	2	4	5	8	0	1	0
Trpm8	74	51	137	133	117	59	40	5
Spp2	33	13	24	31	20	18	5	7
Glrp1	29	8	24	15	19	15	9	6
Arl4c	818	289	584	534	792	617	311	117
Sh3bp4	600	215	436	420	809	650	369	220
Agap1	1203	456	822	586	885	680	387	116
Gbx2	388	125	238	213	143	104	43	11
Asb18	23	14	39	22	17	16	7	4
Iqca	22	1	3	2	1	2	1	2
Iqca	3	0	1	0	1	0	1	0
Ackr3	283	114	151	156	208	179	66	54
Cops8	784	277	488	396	534	479	163	164
Col6a3	35	10	24	13	19	14	5	3
Mlph	175	31	80	52	50	49	14	16
Prlh	37	12	36	22	28	14	4	2
Rab17	22	14	27	31	24	20	7	2
Rab17	36	8	19	20	13	9	7	5
Lrrfip1	939	317	596	519	764	603	281	313
Lrrfip1	1285	337	690	562	641	633	272	236
Rbm44	29	8	29	22	21	16	8	0
Ramp1	109	43	79	70	62	62	29	172
Ube2f	1483	532	886	738	989	844	319	407
Scly	947	377	642	611	866	695	297	262
Espnl	35	20	28	25	17	15	5	0
Klhl30	22	7	24	30	19	14	3	6
Erfe	283	73	155	119	123	123	53	20
Ilkap	723	266	491	355	525	463	244	200
Hes6	993	311	562	570	986	913	331	235
Per2	839	233	512	476	871	704	290	251
Traf3ip1	515	184	351	277	435	299	176	111
Asb1	1096	318	622	654	872	780	333	493
Twist2	688	128	228	138	141	119	71	64
Hdac4	1223	457	834	610	957	739	334	326
Ndufa10	934	316	550	499	710	604	308	288
Olfr1416	21	8	32	24	14	12	8	2
Olfr1415	24	11	29	29	15	12	3	1
Olfr1413	24	14	26	22	14	9	9	3
Olfr1412	28	7	30	24	20	11	4	4
Olfr1411	29	13	35	23	20	4	5	3
Olfr12	26	6	47	38	18	18	10	4
Cops9	719	263	419	389	552	497	214	350
Otos	46	21	27	24	21	17	8	15
Gpc1	1131	442	854	604	860	797	408	230
Ankmy1	229	46	90	81	81	56	34	53
Dusp28	352	151	307	315	419	339	123	183
Rnpepl1	930	338	580	534	782	599	341	356
Capn10	955	278	550	494	724	635	203	458
Gpr35	25	14	22	17	17	8	4	3
Gpr35	33	15	42	29	23	12	5	4
Aqp12	30	12	19	19	17	10	11	6
Kif1a	28	13	41	34	35	10	14	10
Kif1a	762	284	420	361	577	455	191	236
Agxt	21	12	28	15	10	3	7	0
Mab21l4	1	1	1	1	1	1	0	0
Mab21l4	2	1	1	1	0	4	0	0
Crocc2	34	12	30	25	29	8	5	2
Sned1	446	147	319	285	348	266	112	72
Mterf4	691	317	517	507	763	628	274	279
Ppp1r7	117	39	89	78	89	67	33	9
Pask	141	55	100	102	110	85	39	42
Ano7	38	12	32	26	14	8	8	2
Hdlbp	580	182	322	265	326	297	109	84
Sept2	132	70	92	92	133	113	43	54
Sept2	0	0	0	0	0	0	0	0
Hdlbp	0	0	0	0	0	0	0	0
Hdlbp	1184	534	967	988	1130	988	383	349
Farp2	1038	278	605	466	618	553	219	158
Stk25	754	233	394	358	512	421	175	331
Bok	459	140	262	251	374	318	178	41
Atg4b	2552	1111	2092	1605	2010	1660	762	328
Dtymk	594	193	316	334	484	431	162	228
Ing5	853	292	523	510	805	595	275	125
Gal3st2	1	4	2	3	3	0	1	0
Gal3st2b	5	0	8	4	4	2	1	0
Gal3st2c	4	2	10	8	9	1	0	0
Neu4	19	4	28	19	15	10	3	9
Pdcd1	28	8	23	19	14	11	1	15
Fam174a	401	146	258	228	380	302	175	114
St8sia4	1145	398	780	779	1270	1060	475	507
Slco4c1	567	199	453	433	603	523	232	244
Slco6c1	6	4	13	12	5	4	5	0
Gin1	1847	884	1556	1487	1789	1584	675	632
Ppip5k2	1133	430	787	732	1061	986	443	346
Pam	33	13	26	19	25	20	11	2
Pam	0	0	2	0	0	0	0	0
Slco6d1	11	9	13	11	15	6	11	0
Cntnap5b	150	35	123	153	254	209	93	65
Cdh20	325	100	152	192	247	210	92	68
Rnf152	522	169	358	346	442	310	149	93
Relch	1576	634	1061	919	1252	1120	441	474
Tnfrsf11a	568	228	392	310	356	329	177	84
Zcchc2	1252	454	713	604	902	773	352	482
Phlpp1	568	280	445	362	620	478	298	122
Bcl2	862	353	685	530	789	635	357	126
Kdsr	592	213	384	348	593	507	259	216
Vps4b	547	150	266	230	347	249	126	90
Serpinb5	14	7	29	23	20	7	3	2
Serpinb12	14	9	19	20	17	11	7	3
Serpinb12	12	7	14	16	17	8	8	1
Serpinb13	10	4	16	12	10	9	5	1
Serpinb3a	9	3	13	7	12	3	2	2
Serpinb3d	8	4	11	17	8	1	5	0
Serpinb3b	4	1	10	9	11	2	6	0
Serpinb3c	6	2	13	11	9	2	3	1
Serpinb11	6	11	17	9	15	14	5	1
Serpinb7	8	4	16	5	4	5	9	2
Serpinb2	2	1	2	1	2	0	1	0
Serpinb2	0	1	1	0	4	0	0	0
Serpinb8	14	6	13	16	24	15	14	29
Cdh7	321	100	196	156	243	188	103	56
Cdh7	0	0	0	0	0	0	0	0
Cdh7	215	72	128	157	188	157	66	113
Cdh19	12	5	8	5	8	5	4	9
Dsel	308	132	274	286	520	453	238	100
Cntnap5a	41	18	75	102	214	232	127	109
Tsn	418	127	285	248	472	365	194	176
Nifk	394	147	246	228	309	245	97	101
